2026-02-26 10:53:40 | DEBUG    | shortsqueeze.signals:scan_stock - TAK: price=$18.49, prev_close=$18.61 (source: yahoo)
2026-02-26 10:53:40 | DEBUG    | shortsqueeze.signals:scan_stock - TAK: Using Yahoo volume=1,944,961
2026-02-26 10:53:40 | DEBUG    | shortsqueeze.signals:scan_stock - TAK: No signal - price=False (-0.6%, need +5.0%), vol=False (ratio=1.3x, need 3.0x, src=yahoo), vwap=False ($18.49 vs VWAP $18.60), squeeze=False, mom=False
2026-02-26 10:53:41 | DEBUG    | shortsqueeze.signals:scan_stock - CTOS: price=$7.21, prev_close=$7.39 (source: yahoo)
2026-02-26 10:53:41 | DEBUG    | shortsqueeze.signals:scan_stock - CTOS: Using Yahoo volume=151,519
2026-02-26 10:53:41 | DEBUG    | shortsqueeze.signals:scan_stock - CTOS: No signal - price=False (-2.4%, need +5.0%), vol=False (ratio=0.3x, need 3.0x, src=yahoo), vwap=False ($7.21 vs VWAP $7.45), squeeze=False, mom=False
2026-02-26 10:53:42 | DEBUG    | shortsqueeze.signals:scan_stock - SBET: price=$7.08, prev_close=$7.46 (source: yahoo)
2026-02-26 10:53:42 | DEBUG    | shortsqueeze.signals:scan_stock - SBET: No signal - price=False (-5.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($7.08 vs VWAP $7.27), squeeze=False, mom=False
2026-02-26 10:53:42 | DEBUG    | shortsqueeze.signals:scan_stock - NXE: price=$12.36, prev_close=$12.82 (source: yahoo)
2026-02-26 10:53:42 | DEBUG    | shortsqueeze.signals:scan_stock - NXE: No signal - price=False (-3.5%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($12.36 vs VWAP $12.85), squeeze=False, mom=False
2026-02-26 10:53:43 | DEBUG    | shortsqueeze.signals:scan_stock - USAS: price=$8.82, prev_close=$8.92 (source: yahoo)
2026-02-26 10:53:43 | DEBUG    | shortsqueeze.signals:scan_stock - USAS: No signal - price=False (-1.1%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($8.82 vs VWAP $8.98), squeeze=False, mom=False
2026-02-26 10:53:44 | DEBUG    | shortsqueeze.signals:scan_stock - HL: price=$23.94, prev_close=$23.31 (source: yahoo)
2026-02-26 10:53:44 | DEBUG    | shortsqueeze.signals:scan_stock - HL: No signal - price=False (+2.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($23.94 vs VWAP $23.81), squeeze=False, mom=False
2026-02-26 10:53:45 | DEBUG    | shortsqueeze.signals:scan_stock - JD: price=$26.80, prev_close=$27.54 (source: yahoo)
2026-02-26 10:53:45 | DEBUG    | shortsqueeze.signals:scan_stock - JD: No signal - price=False (-2.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($26.80 vs VWAP $27.41), squeeze=False, mom=False
2026-02-26 10:53:45 | DEBUG    | shortsqueeze.signals:scan_stock - PICK: price=$63.06, prev_close=$64.42 (source: yahoo)
2026-02-26 10:53:45 | DEBUG    | shortsqueeze.signals:scan_stock - PICK: Using Yahoo volume=463,398
2026-02-26 10:53:45 | DEBUG    | shortsqueeze.signals:scan_stock - PICK: No signal - price=False (-2.1%, need +5.0%), vol=False (ratio=1.0x, need 3.0x, src=yahoo), vwap=False ($63.06 vs VWAP $64.47), squeeze=False, mom=False
2026-02-26 10:53:46 | DEBUG    | shortsqueeze.signals:scan_stock - FIG: price=$30.21, prev_close=$31.24 (source: yahoo)
2026-02-26 10:53:46 | DEBUG    | shortsqueeze.signals:scan_stock - FIG: No signal - price=False (-3.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($30.21 vs VWAP $30.21), squeeze=False, mom=False
2026-02-26 10:53:46 | DEBUG    | shortsqueeze.signals:scan_stock - CORZ: price=$17.55, prev_close=$18.07 (source: yahoo)
2026-02-26 10:53:47 | DEBUG    | shortsqueeze.signals:scan_stock - CORZ: No signal - price=False (-2.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($17.55 vs VWAP $18.00), squeeze=False, mom=False
2026-02-26 10:53:47 | DEBUG    | shortsqueeze.signals:scan_stock - QXO: price=$23.50, prev_close=$24.20 (source: yahoo)
2026-02-26 10:53:47 | DEBUG    | shortsqueeze.signals:scan_stock - QXO: No signal - price=False (-2.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($23.50 vs VWAP $24.47), squeeze=False, mom=False
2026-02-26 10:53:48 | DEBUG    | shortsqueeze.signals:scan_stock - KIM: price=$23.55, prev_close=$23.32 (source: yahoo)
2026-02-26 10:53:48 | DEBUG    | shortsqueeze.signals:scan_stock - KIM: Using Yahoo volume=3,108,276
